caseID,action,type,technique,play_pattern,under_pressure,shot_assist,angle,length,height,recipient,startTime,period,minute,duration,endTime,possession_team,team_action,player,player_position,body_part,start_X,start_Y,end_X,end_Y,bad_behavior,result,home_team,away_team,action_type,action_count,action_type_count
865110,Pass,Goal Kick,None,From Goal Kick,None,None,1.6162196,22.022715,,Kyle Walker,00:02:28.443,1,2,1.44,00:02:29.883000,England,England,Jordan Pickford,Goalkeeper,Left Foot,7.0,42.0,6.0,64.0,None,None,England,Sweden,Pass_Goal Kick,Pass_1,Pass_Goal Kick_1
865110,Pressure,None,None,From Goal Kick,None,None,,,,,00:02:31.123,1,2,1.06,00:02:32.183000,England,Sweden,Ola Toivonen,Left Center Forward,,112.0,19.0,,,None,None,England,Sweden,Pressure_None,Pressure_1,Pressure_None_1
865110,Pass,None,None,From Goal Kick,None,None,0.15499674,64.77654,,,00:02:32.963,1,2,2.587,00:02:35.550000,England,England,Kyle Walker,Right Center Back,Right Foot,3.0,66.0,67.0,76.0,None,Incomplete,England,Sweden,Pass_None,Pass_2,Pass_None_1
8651100,Pass,None,None,Regular Play,None,None,0.104876935,19.104973,,Jesse Lingard,00:04:49.159,2,49,1.28,00:04:50.439000,England,England,Kieran Trippier,Right Midfield,Right Foot,36.0,56.0,55.0,58.0,None,None,England,Sweden,Pass_None,Pass_1,Pass_None_1
8651100,Pass,None,None,Regular Play,None,None,-1.849096,21.84033,,Bamidele Alli,00:04:52.480,2,49,0.999,00:04:53.479000,England,England,Jesse Lingard,Right Attacking Midfield,Right Foot,53.0,52.0,47.0,31.0,None,None,England,Sweden,Pass_None,Pass_2,Pass_None_2
8651100,Pass,None,None,Regular Play,None,None,-0.9723774,26.627054,,Ashley Young,00:04:55.560,2,49,3.239,00:04:58.799000,England,England,Bamidele Alli,Left Attacking Midfield,Right Foot,51.0,24.0,66.0,2.0,None,None,England,Sweden,Pass_None,Pass_3,Pass_None_3
8651100,Pass,None,None,Regular Play,None,None,2.2455373,6.4031243,,Bamidele Alli,00:05:00.317,2,50,0.883,00:05:01.200000,England,England,Ashley Young,Left Midfield,Left Foot,67.0,2.0,63.0,7.0,None,None,England,Sweden,Pass_None,Pass_4,Pass_None_4
8651100,Pass,None,None,Regular Play,None,None,2.7233684,9.848858,,Harry Maguire,00:05:03.600,2,50,1.159,00:05:04.759000,England,England,Bamidele Alli,Left Attacking Midfield,Left Foot,62.0,9.0,53.0,13.0,None,None,England,Sweden,Pass_None,Pass_5,Pass_None_5
8651100,Pressure,None,None,Regular Play,None,None,,,,,00:05:03.920,2,50,0.479,00:05:04.399000,England,Sweden,Viktor Claesson,Right Wing,,58.0,65.0,,,None,None,England,Sweden,Pressure_None,Pressure_1,Pressure_None_1
8651100,Pressure,None,None,Regular Play,None,None,,,,,00:05:05.587,2,50,0.533,00:05:06.120000,England,Sweden,Viktor Claesson,Right Wing,,66.0,62.0,,,None,None,England,Sweden,Pressure_None,Pressure_2,Pressure_None_2
