caseID,action,type,technique,play_pattern,under_pressure,shot_assist,angle,length,height,recipient,startTime,period,minute,duration,endTime,possession_team,team_action,player,player_position,body_part,start_X,start_Y,end_X,end_Y,bad_behavior,result,home_team,away_team,action_type,action_count,action_type_count
758410,Interception,None,None,From Counter,None,None,,,,,00:03:37.440,1,3,,None,Japan,Japan,Hiroki Sakai,Right Back,,33.0,79.0,,,None,Won,Japan,Belgium,Interception_None,Interception_1,Interception_None_1
758410,Pressure,None,None,From Counter,None,None,,,,,00:03:37.960,1,3,2.293,00:03:40.253000,Japan,Belgium,Jan Vertonghen,Left Center Back,,79.0,7.0,,,None,None,Japan,Belgium,Pressure_None,Pressure_1,Pressure_None_1
758410,Dribble,None,None,From Counter,True,None,,,,,00:03:40.160,1,3,,None,Japan,Japan,Hiroki Sakai,Right Back,,52.0,77.0,,,None,Incomplete,Japan,Belgium,Dribble_None,Dribble_1,Dribble_None_1
7584100,Ball Recovery,None,None,From Counter,None,None,,,,,00:09:42.473,2,54,,None,Belgium,Belgium,Axel Witsel,Left Center Midfield,,31.0,54.0,,,None,None,Japan,Belgium,Ball Recovery_None,Ball Recovery_1,Ball Recovery_None_1
7584100,Pass,None,None,From Counter,None,None,-0.66104317,11.401754,,Kevin De Bruyne,00:09:43.380,2,54,1.2,00:09:44.580000,Belgium,Belgium,Axel Witsel,Left Center Midfield,Right Foot,37.0,48.0,46.0,41.0,None,None,Japan,Belgium,Pass_None,Pass_1,Pass_None_1
7584100,Pressure,None,None,From Counter,None,None,,,,,00:09:46.420,2,54,0.653,00:09:47.073000,Belgium,Japan,Makoto Hasebe,Right Defensive Midfield,,54.0,33.0,,,None,None,Japan,Belgium,Pressure_None,Pressure_1,Pressure_None_1
7584100,Pass,None,None,From Counter,True,None,0.7853982,4.2426405,,,00:09:46.900,2,54,0.373,00:09:47.273000,Belgium,Belgium,Kevin De Bruyne,Right Center Midfield,Right Foot,66.0,42.0,69.0,45.0,None,Incomplete,Japan,Belgium,Pass_None,Pass_2,Pass_None_2
7584100,Block,None,None,From Counter,None,None,,,,,00:09:47.273,2,54,,None,Belgium,Japan,Makoto Hasebe,Right Defensive Midfield,,52.0,36.0,,,None,None,Japan,Belgium,Block_None,Block_1,Block_None_1
7584100,Block,None,None,From Counter,None,None,,,,,00:09:47.393,2,54,,None,Belgium,Belgium,Kevin De Bruyne,Right Center Midfield,,69.0,43.0,,,None,None,Japan,Belgium,Block_None,Block_2,Block_None_2
7584100,Pass,Recovery,None,From Counter,None,None,-0.6790053,73.24616,,,00:09:49.153,2,54,3.986,00:09:53.139000,Belgium,Japan,Maya Yoshida,Right Center Back,Right Foot,38.0,47.0,95.0,1.0,None,Out,Japan,Belgium,Pass_Recovery,Pass_3,Pass_Recovery_1
7584101,Pass,None,None,Regular Play,None,None,1.6421038,14.035668,,Thomas Meunier,00:10:02.420,2,55,1.88,00:10:04.300000,Belgium,Belgium,Toby Albertine Maurits Alderweireld,Right Center Back,Right Foot,32.0,65.0,31.0,79.0,None,None,Japan,Belgium,Pass_None,Pass_1,Pass_None_1
