caseID,action,type,technique,play_pattern,under_pressure,shot_assist,angle,length,height,recipient,startTime,period,minute,duration,endTime,possession_team,team_action,player,player_position,body_part,start_X,start_Y,end_X,end_Y,bad_behavior,result,home_team,away_team,action_type,action_count,action_type_count
754110,Ball Recovery,None,None,Regular Play,None,None,,,,,00:02:44.400,1,2,,None,Japan,Japan,Yūya Ōsako,Center Forward,,100.0,50.0,,,None,None,Japan,Colombia,Ball Recovery_None,Ball Recovery_1,Ball Recovery_None_1
754110,Pressure,None,None,Regular Play,None,None,,,,,00:02:44.467,1,2,0.693,00:02:45.160000,Japan,Colombia,Davinson Sánchez Mina,Right Center Back,,22.0,30.0,,,None,None,Japan,Colombia,Pressure_None,Pressure_1,Pressure_None_1
754110,Pressure,None,None,Regular Play,None,None,,,,,00:02:44.627,1,2,0.613,00:02:45.240000,Japan,Colombia,Carlos Alberto Sánchez Moreno,Left Center Midfield,,23.0,31.0,,,None,None,Japan,Colombia,Pressure_None,Pressure_2,Pressure_None_2
754110,Shot,Open Play,Normal,Regular Play,True,None,,,,,00:02:45.160,1,2,0.427,00:02:45.587000,Japan,Japan,Yūya Ōsako,Center Forward,Left Foot,104.0,48.0,111.0,40.5,None,Saved,Japan,Colombia,Shot_Open Play,Shot_1,Shot_Open Play_1
754110,Goal Keeper,Shot Saved,Diving,Regular Play,None,None,,,,,00:02:45.587,1,2,,None,Japan,Colombia,David Ospina Ramírez,Goalkeeper,Left Foot,10.0,37.0,10.0,37.0,None,In Play Danger,Japan,Colombia,Goal Keeper_Shot Saved,Goal Keeper_1,Goal Keeper_Shot Saved_1
754110,Ball Recovery,None,None,Regular Play,None,None,,,,,00:02:46.480,1,2,,None,Japan,Japan,Shinji Kagawa,Center Attacking Midfield,,102.0,39.0,,,None,None,Japan,Colombia,Ball Recovery_None,Ball Recovery_2,Ball Recovery_None_2
754110,Shot,Open Play,Half Volley,Regular Play,None,None,,,,,00:02:46.627,1,2,0.4,00:02:47.027000,Japan,Japan,Shinji Kagawa,Center Attacking Midfield,Left Foot,103.0,39.0,108.0,38.0,None,Blocked,Japan,Colombia,Shot_Open Play,Shot_2,Shot_Open Play_2
754110,Block,None,None,Regular Play,None,None,,,,,00:02:47.027,1,2,,None,Japan,Colombia,Carlos Alberto Sánchez Moreno,Left Center Midfield,,13.0,43.0,,,None,None,Japan,Colombia,Block_None,Block_1,Block_None_1
754110,Goal Keeper,Shot Faced,None,Regular Play,None,None,,,,,00:02:47.107,1,2,,None,Japan,Colombia,David Ospina Ramírez,Goalkeeper,,10.0,40.0,9.0,42.0,None,None,Japan,Colombia,Goal Keeper_Shot Faced,Goal Keeper_2,Goal Keeper_Shot Faced_1
754110,Foul Committed,None,None,Regular Play,None,None,,,,,00:02:48.560,1,2,,None,Japan,Colombia,Carlos Alberto Sánchez Moreno,Left Center Midfield,,13.0,43.0,,,None,None,Japan,Colombia,Foul Committed_None,Foul Committed_1,Foul Committed_None_1
