caseID,action,type,technique,play_pattern,under_pressure,shot_assist,angle,length,height,recipient,startTime,period,minute,duration,endTime,possession_team,team_action,player,player_position,body_part,start_X,start_Y,end_X,end_Y,bad_behavior,result,home_team,away_team,action_type,action_count,action_type_count
755210,Pass,Free Kick,None,From Free Kick,None,None,2.8387077,16.763054,,Anga Dedryck Boyata,00:03:13.220,1,3,1.213,00:03:14.433000,Belgium,Belgium,Axel Witsel,Left Center Midfield,Right Foot,46.0,23.0,30.0,28.0,None,None,Tunisia,Belgium,Pass_Free Kick,Pass_1,Pass_Free Kick_1
755210,Pass,None,None,From Free Kick,None,None,1.3521274,27.658634,,Toby Albertine Maurits Alderweireld,00:03:15.153,1,3,1.519,00:03:16.672000,Belgium,Belgium,Anga Dedryck Boyata,Center Back,Right Foot,27.0,28.0,33.0,55.0,None,None,Tunisia,Belgium,Pass_None,Pass_2,Pass_None_1
755210,Pressure,None,None,From Free Kick,None,None,,,,,00:03:15.353,1,3,0.32,00:03:15.673000,Belgium,Tunisia,Wahbi Khazri,Center Forward,,91.0,55.0,,,None,None,Tunisia,Belgium,Pressure_None,Pressure_1,Pressure_None_1
755210,Pass,None,None,From Free Kick,None,None,-0.21109334,14.3178215,,Dries Mertens,00:03:20.393,1,3,0.759,00:03:21.152000,Belgium,Belgium,Toby Albertine Maurits Alderweireld,Right Back,Right Foot,51.0,64.0,65.0,61.0,None,None,Tunisia,Belgium,Pass_None,Pass_3,Pass_None_2
755210,Pressure,None,None,From Free Kick,None,None,,,,,00:03:22.073,1,3,0.4,00:03:22.473000,Belgium,Tunisia,Anice Badri,Left Center Forward,,52.0,14.0,,,None,None,Tunisia,Belgium,Pressure_None,Pressure_2,Pressure_None_2
755210,Pass,None,None,From Free Kick,True,None,-0.35877067,17.088007,,Romelu Lukaku Menama,00:03:22.300,1,3,0.853,00:03:23.153000,Belgium,Belgium,Dries Mertens,Right Wing,Right Foot,64.0,60.0,80.0,54.0,None,None,Tunisia,Belgium,Pass_None,Pass_4,Pass_None_3
755210,Pass,None,None,From Free Kick,None,None,-2.2142975,5.0,,Eden Hazard,00:03:23.153,1,3,0.307,00:03:23.460000,Belgium,Belgium,Romelu Lukaku Menama,Center Forward,Left Foot,80.0,54.0,77.0,50.0,None,None,Tunisia,Belgium,Pass_None,Pass_5,Pass_None_4
755210,Block,None,None,From Free Kick,None,None,,,,,00:03:23.460,1,3,,None,Belgium,Tunisia,Ellyes Skhiri,Center Defensive Midfield,,41.0,34.0,,,None,None,Tunisia,Belgium,Block_None,Block_1,Block_None_1
755210,Ball Recovery,None,None,From Free Kick,None,None,,,,,00:03:26.913,1,3,,None,Belgium,Tunisia,Saîf-Eddine Khaoui,Left Center Midfield,,50.0,37.0,,,None,None,Tunisia,Belgium,Ball Recovery_None,Ball Recovery_1,Ball Recovery_None_1
755210,Ball Recovery,None,None,From Free Kick,None,None,,,,,00:03:29.633,1,3,,None,Belgium,Belgium,Axel Witsel,Left Center Midfield,,66.0,40.0,,,None,None,Tunisia,Belgium,Ball Recovery_None,Ball Recovery_2,Ball Recovery_None_2
755210,Pressure,None,None,From Free Kick,None,None,,,,,00:03:30.353,1,3,0.4,00:03:30.753000,Belgium,Tunisia,Saîf-Eddine Khaoui,Left Center Midfield,,56.0,43.0,,,None,None,Tunisia,Belgium,Pressure_None,Pressure_3,Pressure_None_3
755210,Pass,None,None,From Free Kick,None,None,-1.0088748,31.906113,,Yannick Ferreira Carrasco,00:03:31.193,1,3,1.76,00:03:32.953000,Belgium,Belgium,Axel Witsel,Left Center Midfield,Right Foot,66.0,31.0,83.0,4.0,None,None,Tunisia,Belgium,Pass_None,Pass_6,Pass_None_5
