caseID,action,type,technique,play_pattern,under_pressure,shot_assist,angle,length,height,recipient,startTime,period,minute,duration,endTime,possession_team,team_action,player,player_position,body_part,start_X,start_Y,end_X,end_Y,bad_behavior,result,home_team,away_team,action_type,action_count,action_type_count
754910,Pass,Recovery,None,Regular Play,None,None,0.04542328,22.022715,,Jón Daði Böðvarsson,00:04:47.723,1,4,2.72,00:04:50.443000,Iceland,Iceland,Kári Árnason,Right Center Back,Head,53.0,64.0,75.0,65.0,None,Incomplete,Iceland,Nigeria,Pass_Recovery,Pass_1,Pass_Recovery_1
754910,Pass,Recovery,None,Regular Play,None,None,0.7328151,13.453624,,,00:04:50.443,1,4,1.24,00:04:51.683000,Iceland,Nigeria,Kenneth Josiah Omeruo,Left Center Back,Head,46.0,16.0,56.0,25.0,None,Incomplete,Iceland,Nigeria,Pass_Recovery,Pass_2,Pass_Recovery_2
754910,Pass,Recovery,None,Regular Play,None,None,0.348771,23.409399,,Jón Daði Böðvarsson,00:04:51.683,1,4,1.48,00:04:53.163000,Iceland,Iceland,Gylfi Þór Sigurðsson,Left Defensive Midfield,Right Foot,65.0,56.0,87.0,64.0,None,None,Iceland,Nigeria,Pass_Recovery,Pass_3,Pass_Recovery_3
754910,Pass,None,None,Regular Play,None,None,-1.6814536,9.055386,,Alfreð Finnbogason,00:04:53.283,1,4,1.359,00:04:54.642000,Iceland,Iceland,Jón Daði Böðvarsson,Left Center Forward,Head,87.0,64.0,86.0,55.0,None,None,Iceland,Nigeria,Pass_None,Pass_4,Pass_None_1
754910,Pass,None,None,Regular Play,None,True,-1.5707964,13.0,,Gylfi Þór Sigurðsson,00:04:56.003,1,4,0.64,00:04:56.643000,Iceland,Iceland,Alfreð Finnbogason,Right Center Forward,Right Foot,93.0,58.0,93.0,45.0,None,None,Iceland,Nigeria,Pass_None,Pass_5,Pass_None_2
754910,Pressure,None,None,Regular Play,None,None,,,,,00:04:57.563,1,4,0.68,00:04:58.243000,Iceland,Nigeria,John Michael Nchekwube Obinna,Center Midfield,,24.0,36.0,,,None,None,Iceland,Nigeria,Pressure_None,Pressure_1,Pressure_None_1
754910,Shot,Open Play,Normal,Regular Play,True,None,,,,,00:04:57.803,1,4,0.84,00:04:58.643000,Iceland,Iceland,Gylfi Þór Sigurðsson,Left Defensive Midfield,Right Foot,99.0,39.0,118.0,42.5,None,Saved,Iceland,Nigeria,Shot_Open Play,Shot_1,Shot_Open Play_1
754910,Goal Keeper,Shot Saved,Standing,Regular Play,None,None,,,,,00:04:58.643,1,4,,None,Iceland,Nigeria,Francis Odinaka Uzoho,Goalkeeper,Both Hands,3.0,39.0,3.0,39.0,None,Success,Iceland,Nigeria,Goal Keeper_Shot Saved,Goal Keeper_1,Goal Keeper_Shot Saved_1
7549100,Pass,Throw-in,None,From Throw In,None,None,-1.5395565,32.01562,,Kári Árnason,00:03:08.440,2,48,2.067,00:03:10.507000,Iceland,Iceland,Gylfi Þór Sigurðsson,Left Defensive Midfield,,107.0,80.0,108.0,48.0,None,Incomplete,Iceland,Nigeria,Pass_Throw-in,Pass_1,Pass_Throw-in_1
7549100,Clearance,None,None,From Throw In,None,None,,,,,00:03:10.507,2,48,,None,Iceland,Nigeria,Kenneth Josiah Omeruo,Left Center Back,,13.0,33.0,,,None,None,Iceland,Nigeria,Clearance_None,Clearance_1,Clearance_None_1
