caseID,action,type,technique,play_pattern,under_pressure,shot_assist,angle,length,height,recipient,startTime,period,minute,duration,endTime,possession_team,team_action,player,player_position,body_part,start_X,start_Y,end_X,end_Y,bad_behavior,result,home_team,away_team,action_type,action_count,action_type_count
752510,Pass,Free Kick,None,From Free Kick,None,None,-0.7853982,74.953316,,,00:03:28.440,1,3,3.68,00:03:32.120000,Saudi Arabia,Saudi Arabia,Abdullah Ibrahim Al Maiouf,Goalkeeper,Right Foot,23.0,57.0,76.0,4.0,None,Incomplete,Saudi Arabia,Russia,Pass_Free Kick,Pass_1,Pass_Free Kick_1
752510,Pass,Recovery,None,From Free Kick,None,None,-0.42483217,46.09772,,Alan Dzagoev,00:03:32.120,1,3,3.853,00:03:35.973000,Saudi Arabia,Russia,Mário Figueira Fernandes,Right Back,Head,45.0,77.0,87.0,58.0,None,Incomplete,Saudi Arabia,Russia,Pass_Recovery,Pass_2,Pass_Recovery_1
752510,Pass,Recovery,None,From Free Kick,None,None,2.6078844,25.553865,,Abdullah Ibrahim Al Maiouf,00:03:35.973,1,3,2.24,00:03:38.213000,Saudi Arabia,Saudi Arabia,Osama Abdulrezag Hawsawi,Right Center Back,Right Foot,34.0,23.0,12.0,36.0,None,None,Saudi Arabia,Russia,Pass_Recovery,Pass_3,Pass_Recovery_2
752510,Pass,None,None,From Free Kick,None,None,0.64008814,58.60034,,Mohammed Al Burayk,00:03:40.293,1,3,2.987,00:03:43.280000,Saudi Arabia,Saudi Arabia,Abdullah Ibrahim Al Maiouf,Goalkeeper,Right Foot,13.0,37.0,60.0,72.0,None,Incomplete,Saudi Arabia,Russia,Pass_None,Pass_4,Pass_None_1
752510,Pass,Recovery,None,From Free Kick,None,None,-2.4149504,12.0415945,,,00:03:43.280,1,3,1.413,00:03:44.693000,Saudi Arabia,Russia,Yuri Zhirkov,Left Back,,62.0,9.0,53.0,1.0,None,Out,Saudi Arabia,Russia,Pass_Recovery,Pass_5,Pass_Recovery_3
7525100,Pass,Free Kick,None,From Free Kick,None,None,0.7853982,18.384777,,Mohammed Al Burayk,00:00:57.360,2,45,1.773,00:00:59.133000,Saudi Arabia,Saudi Arabia,Abdullah Ibrahim Otayf,Center Defensive Midfield,Left Foot,44.0,67.0,57.0,80.0,None,None,Saudi Arabia,Russia,Pass_Free Kick,Pass_1,Pass_Free Kick_1
7525100,Pressure,None,None,From Free Kick,None,None,,,,,00:01:00.080,2,46,0.68,00:01:00.760000,Saudi Arabia,Russia,Aleksandr Golovin,Center Attacking Midfield,,62.0,6.0,,,None,None,Saudi Arabia,Russia,Pressure_None,Pressure_1,Pressure_None_1
7525100,Pass,None,None,From Free Kick,None,None,-0.67474097,12.806249,,Mohammad Ibrahim Al Sahlawi,00:01:00.813,2,46,0.507,00:01:01.320000,Saudi Arabia,Saudi Arabia,Mohammed Al Burayk,Right Back,Right Foot,63.0,79.0,73.0,71.0,None,Incomplete,Saudi Arabia,Russia,Pass_None,Pass_2,Pass_None_1
7525100,Ball Recovery,None,None,From Free Kick,None,None,,,,,00:01:01.320,2,46,,None,Saudi Arabia,Russia,Roman Zobnin,Left Center Midfield,,48.0,10.0,,,None,None,Saudi Arabia,Russia,Ball Recovery_None,Ball Recovery_1,Ball Recovery_None_1
7525100,Pass,Recovery,None,From Free Kick,None,None,0.16910122,41.59327,,Fyodor Smolov,00:01:02.600,2,46,3.2,00:01:05.800000,Saudi Arabia,Russia,Yuri Zhirkov,Left Back,Left Foot,41.0,3.0,82.0,10.0,None,Incomplete,Saudi Arabia,Russia,Pass_Recovery,Pass_3,Pass_Recovery_1
7525100,Pass,Recovery,None,From Free Kick,None,None,-0.04164258,24.020824,,Taisir Jabir Al Jassim,00:01:05.800,2,46,1.32,00:01:07.120000,Saudi Arabia,Saudi Arabia,Osama Abdulrezag Hawsawi,Right Center Back,Right Foot,39.0,71.0,63.0,70.0,None,Incomplete,Saudi Arabia,Russia,Pass_Recovery,Pass_4,Pass_Recovery_2
7525100,Interception,None,None,From Free Kick,None,None,,,,,00:01:07.120,2,46,,None,Saudi Arabia,Russia,Roman Zobnin,Left Center Midfield,,58.0,11.0,,,None,Lost Out,Saudi Arabia,Russia,Interception_None,Interception_1,Interception_None_1
