caseID,action,type,technique,play_pattern,under_pressure,shot_assist,angle,length,height,recipient,startTime,period,minute,duration,endTime,possession_team,team_action,player,player_position,body_part,start_X,start_Y,end_X,end_Y,bad_behavior,result,home_team,away_team,action_type,action_count,action_type_count
757010,Ball Recovery,None,None,Regular Play,None,None,,,,,00:02:06.519,1,2,,None,England,England,Jordan Pickford,Goalkeeper,,15.0,46.0,,,None,None,Belgium,England,Ball Recovery_None,Ball Recovery_1,Ball Recovery_None_1
757010,Pass,None,None,Regular Play,None,None,1.2627436,23.086792,,Phil Jones,00:02:13.040,1,2,1.679,00:02:14.719000,England,England,Jordan Pickford,Goalkeeper,Keeper Arm,12.0,42.0,19.0,64.0,None,None,Belgium,England,Pass_None,Pass_1,Pass_None_1
757010,Pressure,None,None,Regular Play,None,None,,,,,00:02:14.880,1,2,1.119,00:02:15.999000,England,Belgium,Marouane Fellaini-Bakkioui,Right Wing,,97.0,18.0,,,None,None,Belgium,England,Pressure_None,Pressure_1,Pressure_None_1
757010,Pass,None,None,Regular Play,True,None,0.7419473,16.27882,,Trent Alexander-Arnold,00:02:15.960,1,2,0.999,00:02:16.959000,England,England,Phil Jones,Right Center Back,Right Foot,22.0,66.0,34.0,77.0,None,None,Belgium,England,Pass_None,Pass_2,Pass_None_2
757010,Pressure,None,None,Regular Play,None,None,,,,,00:02:16.640,1,2,0.76,00:02:17.400000,England,Belgium,Thorgan Hazard,Left Midfield,,86.0,5.0,,,None,None,Belgium,England,Pressure_None,Pressure_2,Pressure_None_2
757010,Pass,None,None,Regular Play,None,None,-2.5899377,15.264338,,Phil Jones,00:02:17.520,1,2,1.479,00:02:18.999000,England,England,Trent Alexander-Arnold,Right Midfield,Right Foot,33.0,77.0,20.0,69.0,None,None,Belgium,England,Pass_None,Pass_3,Pass_None_3
757010,Pass,None,None,Regular Play,None,None,-2.0344439,29.068884,,Jordan Pickford,00:02:20.600,1,2,2.6,00:02:23.200000,England,England,Phil Jones,Right Center Back,Right Foot,22.0,67.0,9.0,41.0,None,None,Belgium,England,Pass_None,Pass_4,Pass_None_4
757010,Pressure,None,None,Regular Play,None,None,,,,,00:02:24.320,1,2,0.759,00:02:25.079000,England,Belgium,Michy Batshuayi Tunga,Center Forward,,104.0,46.0,,,None,None,Belgium,England,Pressure_None,Pressure_3,Pressure_None_3
757010,Pass,None,None,Regular Play,None,None,-0.013697773,73.00685,,,00:02:25.160,1,2,3.84,00:02:29,England,England,Jordan Pickford,Goalkeeper,Left Foot,9.0,33.0,82.0,32.0,None,Incomplete,Belgium,England,Pass_None,Pass_5,Pass_None_5
7570100,Pass,Free Kick,None,From Free Kick,None,None,-2.7367008,7.615773,,Eric Jeremy Edgar Dier,00:08:47.713,2,53,0.76,00:08:48.473000,England,England,Fabian Delph,Left Attacking Midfield,Right Foot,66.0,57.0,59.0,54.0,None,None,Belgium,England,Pass_Free Kick,Pass_1,Pass_Free Kick_1
7570100,Pass,None,None,From Free Kick,None,None,0.0,18.0,,Ruben Loftus-Cheek,00:08:50.433,2,53,0.799,00:08:51.232000,England,England,Eric Jeremy Edgar Dier,Center Defensive Midfield,Right Foot,61.0,55.0,79.0,55.0,None,None,Belgium,England,Pass_None,Pass_2,Pass_None_1
7570100,Pressure,None,None,From Free Kick,None,None,,,,,00:08:51.073,2,53,0.599,00:08:51.672000,England,Belgium,Moussa Sidi Yaya Dembélé,Right Center Midfield,,48.0,29.0,,,None,None,Belgium,England,Pressure_None,Pressure_1,Pressure_None_1
7570101,Ball Recovery,None,None,Regular Play,None,None,,,,,00:08:53.593,2,53,,None,Belgium,Belgium,Marouane Fellaini-Bakkioui,Right Wing,,38.0,31.0,,,None,None,Belgium,England,Ball Recovery_None,Ball Recovery_1,Ball Recovery_None_1
7570101,Dribbled Past,None,None,Regular Play,None,None,,,,,00:08:53.793,2,53,,None,Belgium,England,Fabian Delph,Left Attacking Midfield,,85.0,57.0,,,None,None,Belgium,England,Dribbled Past_None,Dribbled Past_1,Dribbled Past_None_1
7570101,Dribble,None,None,Regular Play,None,None,,,,,00:08:53.793,2,53,,None,Belgium,Belgium,Marouane Fellaini-Bakkioui,Right Wing,,36.0,24.0,,,None,Complete,Belgium,England,Dribble_None,Dribble_1,Dribble_None_1
