caseID,action,type,technique,play_pattern,under_pressure,shot_assist,angle,length,height,recipient,startTime,period,minute,duration,endTime,possession_team,team_action,player,player_position,body_part,start_X,start_Y,end_X,end_Y,bad_behavior,result,home_team,away_team,action_type,action_count,action_type_count
756210,Pass,Throw-in,None,From Throw In,None,None,0.18534794,32.55764,,José Paolo Guerrero González,00:02:32.667,1,2,1.04,00:02:33.707000,Peru,Peru,Miguel Ángel Trauco Saavedra,Left Back,,24.0,1.0,56.0,7.0,None,None,Peru,Australia,Pass_Throw-in,Pass_1,Pass_Throw-in_1
756210,Pass,None,None,From Throw In,None,None,-0.4636476,4.472136,,,00:02:33.707,1,2,0.15,00:02:33.857000,Peru,Peru,José Paolo Guerrero González,Center Forward,Head,53.0,9.0,57.0,7.0,None,Incomplete,Peru,Australia,Pass_None,Pass_2,Pass_None_1
756210,Block,None,None,From Throw In,None,None,,,,,00:02:33.857,1,2,,None,Peru,Australia,Trent Sainsbury,Right Center Back,,64.0,74.0,,,None,None,Peru,Australia,Block_None,Block_1,Block_None_1
7562100,Pass,Corner,None,From Corner,None,True,-1.8076451,29.832869,,Trent Sainsbury,00:10:25.747,2,55,1.32,00:10:27.067000,Australia,Australia,Aaron Mooy,Left Center Midfield,Right Foot,120.0,80.0,113.0,51.0,None,None,Peru,Australia,Pass_Corner,Pass_1,Pass_Corner_1
7562100,Shot,Open Play,Normal,From Corner,None,None,,,,,00:10:27.067,2,55,0.24,00:10:27.307000,Australia,Australia,Trent Sainsbury,Right Center Back,Head,113.0,52.0,114.0,50.0,None,Wayward,Peru,Australia,Shot_Open Play,Shot_1,Shot_Open Play_1
7562100,Goal Keeper,Shot Faced,None,From Corner,None,None,,,,,00:10:27.307,2,55,,None,Australia,Peru,Pedro David Gallese Quiróz,Goalkeeper,,1.0,39.0,3.0,40.0,None,None,Peru,Australia,Goal Keeper_Shot Faced,Goal Keeper_1,Goal Keeper_Shot Faced_1
7562100,Block,None,None,From Corner,None,None,,,,,00:10:27.400,2,55,,None,Australia,Peru,Pedro Jesús Aquino Sánchez,Left Defensive Midfield,,10.0,37.0,,,None,None,Peru,Australia,Block_None,Block_1,Block_None_1
7562100,Clearance,None,None,From Corner,None,None,,,,,00:10:29.307,2,55,,None,Australia,Peru,Renato Fabrizio Tapia Cortijo,Right Defensive Midfield,,9.0,32.0,,,None,None,Peru,Australia,Clearance_None,Clearance_1,Clearance_None_1
7562101,Pass,Throw-in,None,From Throw In,None,None,-0.4636476,33.54102,,Tim Cahill,00:10:39.787,2,55,2.6,00:10:42.387000,Australia,Australia,Josh Risdon,Right Back,,87.0,79.0,117.0,64.0,None,None,Peru,Australia,Pass_Throw-in,Pass_1,Pass_Throw-in_1
7562101,Pressure,None,None,From Throw In,None,None,,,,,00:10:42.080,2,55,0.999,00:10:43.079000,Australia,Peru,Anderson Santamaría Bardales,Left Center Back,,7.0,17.0,,,None,None,Peru,Australia,Pressure_None,Pressure_1,Pressure_None_1
7562101,Miscontrol,None,None,From Throw In,True,None,,,,,00:10:42.600,2,55,,None,Australia,Australia,Tim Cahill,Center Forward,,119.0,62.0,,,None,None,Peru,Australia,Miscontrol_None,Miscontrol_1,Miscontrol_None_1
7562102,Pass,Goal Kick,None,From Goal Kick,None,None,-0.35144478,63.90618,,José Paolo Guerrero González,00:11:20.467,2,56,3.0,00:11:23.467000,Peru,Peru,Pedro David Gallese Quiróz,Goalkeeper,Left Foot,6.0,40.0,66.0,18.0,None,Incomplete,Peru,Australia,Pass_Goal Kick,Pass_1,Pass_Goal Kick_1
7562103,Pass,Recovery,None,Regular Play,None,None,-0.32175055,22.135944,,Tim Cahill,00:11:23.467,2,56,2.4,00:11:25.867000,Australia,Australia,Mile Jedinak,Right Center Midfield,,56.0,63.0,77.0,56.0,None,None,Peru,Australia,Pass_Recovery,Pass_1,Pass_Recovery_1
7562103,Pass,None,None,Regular Play,None,None,1.929567,25.632011,,Robbie Kruse,00:11:25.867,2,56,2.773,00:11:28.640000,Australia,Australia,Tim Cahill,Center Forward,,75.0,54.0,66.0,78.0,None,None,Peru,Australia,Pass_None,Pass_2,Pass_None_1
7562103,Pressure,None,None,Regular Play,None,None,,,,,00:11:28.707,2,56,1.333,00:11:30.040000,Australia,Peru,Christian Alberto Cueva Bravo,Center Attacking Midfield,,58.0,6.0,,,None,None,Peru,Australia,Pressure_None,Pressure_1,Pressure_None_1
7562103,Pressure,None,None,Regular Play,None,None,,,,,00:11:30.720,2,56,1.559,00:11:32.279000,Australia,Peru,Édison Michael Flores Peralta,Left Midfield,,54.0,7.0,,,None,None,Peru,Australia,Pressure_None,Pressure_2,Pressure_None_2
7562103,Miscontrol,None,None,Regular Play,True,None,,,,,00:11:31.867,2,56,,None,Australia,Australia,Robbie Kruse,Left Midfield,,77.0,74.0,,,None,None,Peru,Australia,Miscontrol_None,Miscontrol_1,Miscontrol_None_1
7562104,Pass,Recovery,None,From Counter,None,None,0.87605804,7.81025,,Pedro Jesús Aquino Sánchez,00:11:32.387,2,56,1.293,00:11:33.680000,Peru,Peru,Miguel Ángel Trauco Saavedra,Left Back,Left Foot,35.0,6.0,40.0,12.0,None,None,Peru,Australia,Pass_Recovery,Pass_1,Pass_Recovery_1
7562104,Pressure,None,None,From Counter,None,None,,,,,00:11:35.238,2,56,0.4,00:11:35.638000,Peru,Australia,Tom Rogić,Center Attacking Midfield,,73.0,58.0,,,None,None,Peru,Australia,Pressure_None,Pressure_1,Pressure_None_1
7562104,Pressure,None,None,From Counter,None,None,,,,,00:11:35.240,2,56,0.44,00:11:35.680000,Peru,Australia,Tom Rogić,Center Attacking Midfield,,76.0,61.0,,,None,None,Peru,Australia,Pressure_None,Pressure_2,Pressure_None_2
7562104,Pass,None,None,From Counter,None,None,2.863293,14.56022,,Anderson Santamaría Bardales,00:11:36.067,2,56,1.093,00:11:37.160000,Peru,Peru,Pedro Jesús Aquino Sánchez,Left Defensive Midfield,Right Foot,43.0,14.0,29.0,18.0,None,None,Peru,Australia,Pass_None,Pass_2,Pass_None_1
7562104,Pass,None,None,From Counter,None,None,-1.4940244,13.038404,,Miguel Ángel Trauco Saavedra,00:11:38.507,2,56,1.373,00:11:39.880000,Peru,Peru,Anderson Santamaría Bardales,Left Center Back,Right Foot,28.0,20.0,29.0,7.0,None,None,Peru,Australia,Pass_None,Pass_3,Pass_None_2
7562104,Pass,None,None,From Counter,None,None,0.063743316,47.095646,,,00:11:43.027,2,56,2.48,00:11:45.507000,Peru,Peru,Miguel Ángel Trauco Saavedra,Left Back,Left Foot,34.0,5.0,81.0,8.0,None,Incomplete,Peru,Australia,Pass_None,Pass_4,Pass_None_3
7562104,Pass,Recovery,None,From Counter,None,None,0.32175055,9.486833,,Josh Risdon,00:11:45.507,2,56,1.6,00:11:47.107000,Peru,Australia,Trent Sainsbury,Right Center Back,Head,40.0,73.0,49.0,76.0,None,None,Peru,Australia,Pass_Recovery,Pass_5,Pass_Recovery_2
7562104,Pressure,None,None,From Counter,None,None,,,,,00:11:46.800,2,56,1.239,00:11:48.039000,Peru,Peru,Christian Alberto Cueva Bravo,Center Attacking Midfield,,62.0,5.0,,,None,None,Peru,Australia,Pressure_None,Pressure_3,Pressure_None_3
7562104,Miscontrol,None,None,From Counter,True,None,,,,,00:11:47.880,2,56,,None,Peru,Australia,Josh Risdon,Right Back,,52.0,68.0,,,None,None,Peru,Australia,Miscontrol_None,Miscontrol_1,Miscontrol_None_1
7562104,Ball Recovery,None,None,From Counter,None,None,,,,,00:11:48.040,2,56,,None,Peru,Peru,Christian Alberto Cueva Bravo,Center Attacking Midfield,,70.0,4.0,,,None,None,Peru,Australia,Ball Recovery_None,Ball Recovery_1,Ball Recovery_None_1
7562104,Pass,None,None,From Counter,None,None,1.9513026,5.3851647,,Miguel Ángel Trauco Saavedra,00:11:50.627,2,56,0.573,00:11:51.200000,Peru,Peru,Christian Alberto Cueva Bravo,Center Attacking Midfield,Right Foot,75.0,2.0,73.0,7.0,None,None,Peru,Australia,Pass_None,Pass_6,Pass_None_4
7562104,Pass,None,None,From Counter,None,None,1.2490457,6.3245554,,Édison Michael Flores Peralta,00:11:51.467,2,56,1.173,00:11:52.640000,Peru,Peru,Miguel Ángel Trauco Saavedra,Left Back,Left Foot,74.0,8.0,76.0,14.0,None,None,Peru,Australia,Pass_None,Pass_7,Pass_None_5
7562104,Pressure,None,None,From Counter,None,None,,,,,00:11:52.120,2,56,0.399,00:11:52.519000,Peru,Australia,Mile Jedinak,Right Center Midfield,,40.0,69.0,,,None,None,Peru,Australia,Pressure_None,Pressure_4,Pressure_None_4
7562104,Pressure,None,None,From Counter,None,None,,,,,00:11:53.320,2,56,0.4,00:11:53.720000,Peru,Australia,Aaron Mooy,Left Center Midfield,,30.0,60.0,,,None,None,Peru,Australia,Pressure_None,Pressure_5,Pressure_None_5
7562104,Pass,None,None,From Counter,None,None,0.4048918,7.615773,,André Martín Carrillo Díaz,00:11:53.827,2,56,0.573,00:11:54.400000,Peru,Peru,Édison Michael Flores Peralta,Left Midfield,Left Foot,79.0,12.0,86.0,15.0,None,None,Peru,Australia,Pass_None,Pass_8,Pass_None_6
7562104,Pass,None,None,From Counter,None,None,-2.7776136,22.472204,,Pedro Jesús Aquino Sánchez,00:11:54.707,2,56,1.213,00:11:55.920000,Peru,Peru,André Martín Carrillo Díaz,Right Midfield,Right Foot,86.0,18.0,65.0,10.0,None,None,Peru,Australia,Pass_None,Pass_9,Pass_None_7
7562104,Pressure,None,None,From Counter,None,None,,,,,00:11:54.880,2,56,1.6,00:11:56.480000,Peru,Australia,Mark Milligan,Left Center Back,,33.0,59.0,,,None,None,Peru,Australia,Pressure_None,Pressure_6,Pressure_None_6
7562104,Pass,None,None,From Counter,None,None,1.4489539,49.365982,,Luis Jan Piers Advíncula Castrillón,00:11:57.187,2,56,2.373,00:11:59.560000,Peru,Peru,Pedro Jesús Aquino Sánchez,Left Defensive Midfield,Right Foot,64.0,16.0,70.0,65.0,None,None,Peru,Australia,Pass_None,Pass_10,Pass_None_8
7562104,Pressure,None,None,From Counter,None,None,,,,,00:12:00.320,2,57,0.6,00:12:00.920000,Peru,Australia,Mathew Leckie,Right Midfield,,40.0,22.0,,,None,None,Peru,Australia,Pressure_None,Pressure_7,Pressure_None_7
7562104,Pass,None,None,From Counter,True,None,-1.5707964,11.0,,Renato Fabrizio Tapia Cortijo,00:12:00.787,2,57,1.093,00:12:01.880000,Peru,Peru,Luis Jan Piers Advíncula Castrillón,Right Back,Right Foot,67.0,65.0,67.0,54.0,None,None,Peru,Australia,Pass_None,Pass_11,Pass_None_9
7562104,Pressure,None,None,From Counter,None,None,,,,,00:12:02.160,2,57,0.64,00:12:02.800000,Peru,Australia,Tim Cahill,Center Forward,,53.0,30.0,,,None,None,Peru,Australia,Pressure_None,Pressure_8,Pressure_None_8
7562104,Pass,None,None,From Counter,None,None,0.0,7.0,,,00:12:03.427,2,57,0.2,00:12:03.627000,Peru,Peru,Renato Fabrizio Tapia Cortijo,Right Defensive Midfield,Right Foot,69.0,60.0,76.0,60.0,None,Incomplete,Peru,Australia,Pass_None,Pass_12,Pass_None_10
7562104,Block,None,None,From Counter,None,None,,,,,00:12:03.627,2,57,,None,Peru,Australia,Mathew Leckie,Right Midfield,,45.0,21.0,,,None,None,Peru,Australia,Block_None,Block_1,Block_None_1
7562105,Ball Recovery,None,None,Regular Play,None,None,,,,,00:12:05.360,2,57,,None,Australia,Australia,Aziz Eraltay Behich,Left Back,,42.0,20.0,,,None,None,Peru,Australia,Ball Recovery_None,Ball Recovery_1,Ball Recovery_None_1
7562105,Pass,None,None,Regular Play,None,None,-1.4801364,11.045361,,Tim Cahill,00:12:06.787,2,57,1.093,00:12:07.880000,Australia,Australia,Aziz Eraltay Behich,Left Back,Left Foot,42.0,21.0,43.0,10.0,None,None,Peru,Australia,Pass_None,Pass_1,Pass_None_1
7562105,Pass,None,None,Regular Play,None,None,2.1962814,22.203604,,Mark Milligan,00:12:08.907,2,57,1.533,00:12:10.440000,Australia,Australia,Tim Cahill,Center Forward,Right Foot,42.0,5.0,29.0,23.0,None,None,Peru,Australia,Pass_None,Pass_2,Pass_None_2
7562105,Pass,None,None,Regular Play,None,None,-0.09966865,10.049875,,Aaron Mooy,00:12:11.027,2,57,1.133,00:12:12.160000,Australia,Australia,Mark Milligan,Left Center Back,Right Foot,31.0,23.0,41.0,22.0,None,None,Peru,Australia,Pass_None,Pass_3,Pass_None_3
7562105,Pass,None,None,Regular Play,None,None,0.055498507,18.027756,,Tom Rogić,00:12:15.307,2,57,1.133,00:12:16.440000,Australia,Australia,Aaron Mooy,Left Center Midfield,Right Foot,49.0,24.0,67.0,25.0,None,None,Peru,Australia,Pass_None,Pass_4,Pass_None_4
7562105,Pass,None,None,Regular Play,None,None,-0.8803499,29.832869,,Aziz Eraltay Behich,00:12:18.187,2,57,1.96,00:12:20.147000,Australia,Australia,Tom Rogić,Center Attacking Midfield,Right Foot,76.0,28.0,95.0,5.0,None,None,Peru,Australia,Pass_None,Pass_5,Pass_None_5
7562105,Pressure,None,None,Regular Play,None,None,,,,,00:12:20.720,2,57,0.96,00:12:21.680000,Australia,Peru,Luis Jan Piers Advíncula Castrillón,Right Back,,25.0,68.0,,,None,None,Peru,Australia,Pressure_None,Pressure_1,Pressure_None_1
7562105,Pass,None,None,Regular Play,True,None,0.16514868,24.33105,,Mathew Leckie,00:12:21.347,2,57,4.4,00:12:25.747000,Australia,Australia,Aziz Eraltay Behich,Left Back,Left Foot,91.0,4.0,115.0,8.0,None,None,Peru,Australia,Pass_None,Pass_6,Pass_None_6
7562105,Pressure,None,None,Regular Play,None,None,,,,,00:12:22.320,2,57,3.64,00:12:25.960000,Australia,Peru,Christian Guillermo Martín Ramos Garagay,Right Center Back,,19.0,65.0,,,None,None,Peru,Australia,Pressure_None,Pressure_2,Pressure_None_2
